EPOCH 483, LOSS: 0.0015458774287253618
EPOCH 484, LOSS: 0.0016820000018924475
EPOCH 485, LOSS: 0.001539877150207758
EPOCH 486, LOSS: 0.0016595174092799425
EPOCH 487, LOSS: 0.0015154483262449503
EPOCH 488, LOSS: 0.001624282100237906
EPOCH 489, LOSS: 0.001522570033557713
EPOCH 490, LOSS: 0.0016490314155817032
EPOCH 491, LOSS: 0.0015285569243133068
EPOCH 492, LOSS: 0.0015631042188033462
EPOCH 493, LOSS: 0.0015487757045775652
EPOCH 494, LOSS: 0.0015382387209683657
EPOCH 495, LOSS: 0.001517387805506587
EPOCH 496, LOSS: 0.0014599496498703957
EPOCH 497, LOSS: 0.001540318364277482
EPOCH 498, LOSS: 0.0014496014919131994
EPOCH 499, LOSS: 0.0014294467400759459
EPOCH 500, LOSS: 0.001501841121353209
EPOCH 501, LOSS: 0.0014168501365929842
EPOCH 502, LOSS: 0.0013980551157146692
EPOCH 503, LOSS: 0.001477366778999567
EPOCH 504, LOSS: 0.0014114764053374529
EPOCH 505, LOSS: 0.0013818156439810991
EPOCH 506, LOSS: 0.00144675699993968
EPOCH 507, LOSS: 0.0014112100470811129
EPOCH 508, LOSS: 0.001395986182615161
EPOCH 509, LOSS: 0.0013816438149660826
EPOCH 510, LOSS: 0.0013739860150963068
EPOCH 511, LOSS: 0.001420280197635293
EPOCH 512, LOSS: 0.0013320777798071504
EPOCH 513, LOSS: 0.0013214319478720427
EPOCH 514, LOSS: 0.001353482948616147
EPOCH 515, LOSS: 0.0013235274236649275
EPOCH 516, LOSS: 0.0013656563824042678
EPOCH 517, LOSS: 0.001293044537305832
EPOCH 518, LOSS: 0.0012973453849554062
EPOCH 519, LOSS: 0.001269904663786292
EPOCH 520, LOSS: 0.0012594797881320119
EPOCH 521, LOSS: 0.0012924864422529936
EPOCH 522, LOSS: 0.0012597471941262484
EPOCH 523, LOSS: 0.0013104178942739964
EPOCH 524, LOSS: 0.0012545830104500055
EPOCH 525, LOSS: 0.0012972364202141762
EPOCH 526, LOSS: 0.0012339631794020534
EPOCH 527, LOSS: 0.0012617196189239621
EPOCH 528, LOSS: 0.0012118800077587366
EPOCH 529, LOSS: 0.0012228145496919751
EPOCH 530, LOSS: 0.0011977021349593997
EPOCH 531, LOSS: 0.0011917509837076068
EPOCH 532, LOSS: 0.0011897358344867826
EPOCH 533, LOSS: 0.00116937595885247
EPOCH 534, LOSS: 0.0011859077494591475
EPOCH 535, LOSS: 0.0011547182220965624
EPOCH 536, LOSS: 0.0011931746266782284
EPOCH 537, LOSS: 0.0011547052999958396
EPOCH 538, LOSS: 0.0012342492118477821
EPOCH 539, LOSS: 0.0011989688500761986
EPOCH 540, LOSS: 0.001358043635264039
EPOCH 541, LOSS: 0.001350962556898594
EPOCH 542, LOSS: 0.001566920429468155
EPOCH 543, LOSS: 0.0014996726531535387
EPOCH 544, LOSS: 0.0015208038967102766
EPOCH 545, LOSS: 0.0011973341461271048
EPOCH 546, LOSS: 0.0011600384023040533
EPOCH 547, LOSS: 0.0012134854914620519
EPOCH 548, LOSS: 0.0011870346497744322
EPOCH 549, LOSS: 0.0012854718370363116
EPOCH 550, LOSS: 0.0010808923980221152
EPOCH 551, LOSS: 0.0010525264078751206
EPOCH 552, LOSS: 0.0010958085767924786
EPOCH 553, LOSS: 0.0010805310448631644
EPOCH 554, LOSS: 0.0011554573429748416
EPOCH 555, LOSS: 0.0010468180989846587
EPOCH 556, LOSS: 0.0010346948402002454
EPOCH 557, LOSS: 0.0009850644273683429
